,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
488,,,,,,,,,,,,
489,Papillon,,,,,,,,,,,
490,Rectangular,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top ,,
491,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
492,,,S,190 x110,,,,8940,12950,16970,,
493,,,M,220 x 120,,,,10280,14900,19520,,
494,,,L,250 x 120,,,,11820,16970,22440,,
495,,,XL,300 x 140,,,,14770,21410,28050,,
496,,,,,,,,,,,,
497,,,Prices above are with a steel base with a standard finish,,,,,,,,,
498,,,,,,,,,,,,
499,,,Additional cost for base in a specialist finish:,,,,,,2010,,,
500,,,,,,,,,,,,
501,,,Additional cost for base in a Special Edition ,,,,,,,,,
502,,, 'Butterfly' finish:,,,,,,6640,,,
503,,,,,,,,,,,,
504,Phoenix,,,,,,,,,,,
505,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top,,
506,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
507,,,S,100 D,,,,5650,8200,10740,,
508,,,M,120 D,,,,6500,9430,12360,,
509,,,L,150 D,,,,8130,11780,15440,,
510,,,XL,170 D,,,,9340,12930,17750,,
511,,,,,,,,,,,,
512,,,Prices above are with a steel base with a standard finish,,,,,,,,,
513,,,,,,,,,,,,
514,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
515,,,,,,,,,,,,
516,,,Additional cost for base in Bronze:,,,,,,3800,,,
517,Phoenix,,,,,,,,,,,
518,Rectangular,,Size ,Dimensions ,,,,Wood Top,Marble Top ,,,
519,,,,CMs (H75),,,,(barrel shape with chamfered edge),,,,
520,,,M,220 x 110  ,,,,15510,18600,,,
521,,,L,250 x 120 ,,,,19380,23250,,,
522,,,XL,300 x 120 ,,,,22280,26730,,,
523,,,,,,,,,,,,
524,,,Prices above are with a steel base with a standard finish,,,,,,,,,
525,,,,,,,,,,,,
526,,,Additional cost for base in a specialist finish:,,,,,,2190,,,
527,,,,,,,,,,,,
528,,,Additional cost for base in Bronze:,,,,,,5730,,,
529,,,,,,,,,,,,
530,,,,,,,,,,,,
531,Vienna,,,,,,,,,,,
532, Rectangular,,Size ,Dimensions ,,,,Wood Top,,,,
533,,,,CMs (H75),,,,(barrel shape with rolled edge),,,,
534,,,S,190 x 100,,,,12800,,,,
535,,,M,220 x 110  ,,,,14420,,,,
536,,,L,250 x 120 ,,,,16930,,,,
537,,,XL,300 x 120 ,,,,21170,,,,
538,,,,,,,,,,,,
539,,,,,,,,,,,,
540,,,Prices above are with a steel base with a standard finish,,,,,,,,,
541,,,,,,,,,,,,
542,,,Additional cost for base in a specialist finish:,,,,,,2190,,,
543,     ,,,,,,,,,,,
