,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
519,,,S,190 x 100,,,,11170,,,,
520,,,M,220 x 110  ,,,,12580,,,,
521,,,L,250 x 120 ,,,,14770,,,,
522,,,XL,300 x 120 ,,,,18470,,,,
523,,,,,,,,,,,,
524,,,,,,,,,,,,
525,,,Prices above are with a steel base with a standard finish,,,,,,,,,
526,,,,,,,,,,,,
527,,,Additional cost for base in a specialist finish:,,,,,,1910,,,
528,     ,,,,,,,,,,,
